version_uri	date	author	author_ar	book	title	title_ar	ed_info	id	status	tok_length	local_path	tags	tags_ar	char_length
0068AbdAllahIbnCabbas.GharibQuran.Shamela0023622-ara1	68	Abd Allah Ibn Cabbas	عن الصحابي عبد الله بن عباس بن عبد المطلب القرشي الهاشمي، أبو العباس (المتوفى: 68هـ) - رضي الله عنهما	0068AbdAllahIbnCabbas.GharibQuran	Gharib Quran	غريب القرآن في شعر العرب ((مسائل نافع بن الأزرق لعبد الله بن عباس - رضي الله عنه وعن أبيه))		Shamela0023622	pri	15330	data/0068AbdAllahIbnCabbas/0068AbdAllahIbnCabbas.GharibQuran/0068AbdAllahIbnCabbas.GharibQuran.Shamela0023622-ara1	CENT0100;_CULUM;_QURAN;GAL@nodata	علوم القرآن	57655
0068QaysIbnDharihLubna.Diwan.JK007557-ara1	68	Qays Ibn Dharih Lubna	قيس لبنى	0068QaysIbnDharihLubna.Diwan	Diwan	ديوان قيس لبنى		JK007557	pri	4011	data/0068QaysIbnDharihLubna/0068QaysIbnDharihLubna.Diwan/0068QaysIbnDharihLubna.Diwan.JK007557-ara1	_SHICR;_SHICR_UMAWI;GAL@literature-arabic;GAL@literature-national	أموي :: دواوين الشعر العربي	16138
0068QaysMajnunLayla.Diwan.JK007560-ara1	68	Qays Majnun Layla	مجنون ليلى	0068QaysMajnunLayla.Diwan	Diwan	ديوان مجنون ليلى		JK007560	pri	7949	data/0068QaysMajnunLayla/0068QaysMajnunLayla.Diwan/0068QaysMajnunLayla.Diwan.JK007560-ara1	_SHICR;_SHICR_UMAWI;GAL@literature-arabic;GAL@literature-national	أموي :: دواوين الشعر العربي	32157
0080LaylaAkhyaliyya.Diwan.JK007559-ara1	80	Layla Akhyaliyya	ليلى الأخيلية	0080LaylaAkhyaliyya.Diwan	Diwan	ديوان ليلى الأخيلية		JK007559	pri	2804	data/0080LaylaAkhyaliyya/0080LaylaAkhyaliyya.Diwan/0080LaylaAkhyaliyya.Diwan.JK007559-ara1	_SHICR;_SHICR_UMAWI;GAL@literature-arabic;GAL@literature-national	أموي :: دواوين الشعر العربي	11885
0080UqayshirAsadi.Diwan.JK007539-ara1	80	Uqayshir Asadi	الأقيشر السعدي	0080UqayshirAsadi.Diwan	Diwan	ديوان الأقيشر السعدي		JK007539	pri	1941	data/0080UqayshirAsadi/0080UqayshirAsadi.Diwan/0080UqayshirAsadi.Diwan.JK007539-ara1	_SHICR_ISLAMI;_SHICR;GAL@nodata	إسلامي :: دواوين الشعر العربي	7957
0082JamilButhayna.Diwan.JK007550-ara1	82	Jamil Buthayna	جميل بثينة	0082JamilButhayna.Diwan	Diwan	ديوان جميل بثينة		JK007550	pri	7590	data/0082JamilButhayna/0082JamilButhayna.Diwan/0082JamilButhayna.Diwan.JK007550-ara1	_SHICR;_SHICR_UMAWI;GAL@literature-arabic;GAL@literature-national	أموي :: دواوين الشعر العربي	30472
0085SulaymIbnQaysHilali.KitabSulaym.Shia001265-ara1	85	Sulaym Ibn Qays Hilali	تحقيق محمد باقر الأنصاري	0085SulaymIbnQaysHilali.KitabSulaym	Kitab Sulaym	كتاب سليم بن قيس	محمد باقر الأنصاري الزنجاني	Shia001265	pri	104728	data/0085SulaymIbnQaysHilali/0085SulaymIbnQaysHilali.KitabSulaym/0085SulaymIbnQaysHilali.KitabSulaym.Shia001265-ara1	CENT0100;_HADITH;_SHICI;GAL@period-classical;GAL@literature-islamic;GAL@imamis;GAL@shia;GAL@0750-1000CE;GAL@literature-arabic;GAL@fiqh	مصادر الحديث الشيعية ـ القسم العام	430438
0090AkhtalShacir.Diwan.JK007544-ara1	90	Akhtal Shacir	الأخطل	0090AkhtalShacir.Diwan	Diwan	ديوان الأخطل		JK007544	pri	21979	data/0090AkhtalShacir/0090AkhtalShacir.Diwan/0090AkhtalShacir.Diwan.JK007544-ara1	_SHICR;_SHICR_UMAWI;GAL@literature-arabic;GAL@literature-national	أموي :: دواوين الشعر العربي	93369
0090RaciNumayriShacir.Diwan.JK007545-ara1	90	Raci Numayri Shacir	الراعي النميري	0090RaciNumayriShacir.Diwan	Diwan	ديوان الراعي النميري		JK007545	pri	13528	data/0090RaciNumayriShacir/0090RaciNumayriShacir.Diwan/0090RaciNumayriShacir.Diwan.JK007545-ara1	_SHICR;_SHICR_UMAWI;GAL@literature-arabic;GAL@literature-national	أموي :: دواوين الشعر العربي	58186
0090WaddahYaman.Diwan.JK007562-ara1	90	Waddah Yaman	وضاح اليمن	0090WaddahYaman.Diwan	Diwan	ديوان وضاح اليمن		JK007562	pri	2572	data/0090WaddahYaman/0090WaddahYaman.Diwan/0090WaddahYaman.Diwan.JK007562-ara1	_SHICR;_SHICR_UMAWI;GAL@literature-arabic;GAL@literature-national	أموي :: دواوين الشعر العربي	10422
